linea,tren_id,portador,estacion,dist_km,hora_min
L1,C-TRANSAP-60510,TRANSAP,SAN ROSENDO,4.0,825.0
L1,C-TRANSAP-60510,TRANSAP,LAJA,1.6,835.0
L2,C-TRANSAP-60510,TRANSAP,Lota,36.604,600.0
L2,C-TRANSAP-60510,TRANSAP,CORONEL,27.355,630.0
L2,C-TRANSAP-60510,TRANSAP,Lagunillas,23.804,636.0
L2,C-TRANSAP-60510,TRANSAP,Escuadrón,19.398,642.0
L2,C-TRANSAP-60510,TRANSAP,Lomas Coloradas,11.026,651.0
L2,C-TRANSAP-60510,TRANSAP,Boca Sur,7.439,656.0
L2,C-TRANSAP-60510,TRANSAP,Biobío,3.351,661.0
L2,C-TRANSAP-60510,TRANSAP,CONCEPCIÓN,1.0,673.0
L1,C-TRANSAP-60511,TRANSAP,Hualqui,46.917,6.0
L1,C-TRANSAP-60511,TRANSAP,LAJA,1.6,1320.0
L2,C-TRANSAP-60511,TRANSAP,CONCEPCIÓN,1.0,36.0
L2,C-TRANSAP-60511,TRANSAP,Biobío,3.351,48.0
L2,C-TRANSAP-60511,TRANSAP,Boca Sur,7.439,53.0
